CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
27;LC;81992;D;12;Verde;525;;1
28;LC;32261;E;24;Verde;525;;1
29;LC;118260;E;15;Verde;525;;1
30;LC;118134;A;26;Verde;525;;1
31;LC;89874;A;10;Verde;525;;1
32;LC;86932;A;14;Verde;525;;1
33;LC;24785;D;28;Verde;525;;1
34;LC;118028;D;29;Verde;525;;1
35;LC;118246;B;17;Verde;525;;1
36;LC;89317;E;28;Verde;525;;1
37;LC;86496;C;30;Verde;525;;1
38;LC;118256;D;17;Verde;525;;1
39;LC;118235;E;22;Verde;525;;1
40;LC;118117;C;10;Verde;525;;1
41;LC;68624;A;30;Verde;525;;1
42;LC;96525;A;28;Verde;525;;1
43;LC;118232;E;16;Verde;525;;1
44;LC;118174;C;19;Verde;525;;1
45;LC;76167;D;1;Verde;525;;1
1;LC;86116;E;5;Azul;551;0;0
2;LC;40270;D;7;Azul;551;0;0
3;LC;77968;A;6;Azul;551;0;0
4;LC;98030;B;8;Azul;551;0;0
5;LC;18848;B;6;Azul;551;0;0
1;LC;17910;D;6;Azul;551;1;0
2;LC;25684;A;7;Azul;551;1;0
3;LC;55170;A;5;Azul;551;1;0
4;LC;32839;B;8;Azul;551;1;0
5;LC;87810;B;6;Azul;551;1;0
6;LC;83841;D;30;Azul;551;;0
7;LC;89089;B;17;Azul;551;;0
8;LC;82045;A;1;Azul;551;;0
9;LC;86434;A;20;Azul;551;;0
10;LC;37925;C;27;Azul;551;;0
11;LC;96909;E;4;Azul;551;;0
12;LC;63561;A;12;Azul;551;;0
13;LC;32254;A;9;Azul;551;;0
14;LC;82391;E;17;Azul;551;;0
15;LC;60118;C;25;Azul;551;;0
16;LC;38780;B;4;Azul;551;;0
17;LC;49170;C;22;Azul;551;;0
18;LC;77451;B;18;Azul;551;;0
19;LC;42875;B;15;Azul;551;;0
20;LC;77601;E;21;Azul;551;;0
21;LC;96915;C;2;Azul;551;;0
22;LC;86328;D;26;Azul;551;;0
23;LC;47604;D;3;Azul;551;;0
24;LC;85698;E;16;Azul;551;;0
25;LC;50074;A;19;Azul;551;;0
26;LC;61358;D;28;Azul;551;;0
27;LC;61312;A;12;Azul;551;;0
28;LC;81621;B;23;Azul;551;;0
29;LC;85873;B;16;Azul;551;;0
30;LC;83874;E;24;Azul;551;;0
31;LC;98288;D;16;Azul;551;;0
32;LC;29602;E;10;Azul;551;;0
33;LC;68112;C;18;Azul;551;;0
34;LC;87976;E;3;Azul;551;;0
35;LC;85630;C;11;Azul;551;;0
36;LC;97756;A;17;Azul;551;;0
37;LC;98305;B;25;Azul;551;;0
38;LC;84059;B;11;Azul;551;;0
39;LC;42506;D;4;Azul;551;;0
40;LC;68223;B;14;Azul;551;;0
41;LC;87984;E;15;Azul;551;;0
42;LC;118070;A;18;Azul;551;;0
43;LC;68155;E;23;Azul;551;;0
44;LC;85383;B;16;Azul;551;;0
45;LC;83334;C;24;Azul;551;;0
1;LC;77968;A;6;Amarela;552;0;0
2;LC;98030;B;8;Amarela;552;0;0
3;LC;18848;B;6;Amarela;552;0;0
4;LC;86116;E;5;Amarela;552;0;0
5;LC;40270;D;7;Amarela;552;0;0
1;LC;55170;A;5;Amarela;552;1;0
2;LC;32839;B;8;Amarela;552;1;0
3;LC;87810;B;6;Amarela;552;1;0
4;LC;17910;D;6;Amarela;552;1;0
5;LC;25684;A;7;Amarela;552;1;0
6;LC;118070;A;18;Amarela;552;;0
7;LC;68155;E;23;Amarela;552;;0
8;LC;85383;B;16;Amarela;552;;0
9;LC;83334;C;24;Amarela;552;;0
10;LC;68223;B;14;Amarela;552;;0
11;LC;87984;E;15;Amarela;552;;0
12;LC;98305;B;25;Amarela;552;;0
13;LC;84059;B;11;Amarela;552;;0
14;LC;42506;D;4;Amarela;552;;0
15;LC;87976;E;3;Amarela;552;;0
16;LC;85630;C;11;Amarela;552;;0
17;LC;97756;A;17;Amarela;552;;0
18;LC;98288;D;16;Amarela;552;;0
19;LC;29602;E;10;Amarela;552;;0
20;LC;68112;C;18;Amarela;552;;0
21;LC;85873;B;16;Amarela;552;;0
22;LC;83874;E;24;Amarela;552;;0
23;LC;61358;D;28;Amarela;552;;0
24;LC;61312;A;12;Amarela;552;;0
25;LC;81621;B;23;Amarela;552;;0
26;LC;47604;D;3;Amarela;552;;0
27;LC;85698;E;16;Amarela;552;;0
28;LC;50074;A;19;Amarela;552;;0
29;LC;96915;C;2;Amarela;552;;0
30;LC;86328;D;26;Amarela;552;;0
31;LC;77451;B;18;Amarela;552;;0
32;LC;42875;B;15;Amarela;552;;0
33;LC;77601;E;21;Amarela;552;;0
34;LC;60118;C;25;Amarela;552;;0
35;LC;38780;B;4;Amarela;552;;0
36;LC;49170;C;22;Amarela;552;;0
37;LC;63561;A;12;Amarela;552;;0
38;LC;32254;A;9;Amarela;552;;0
39;LC;82391;E;17;Amarela;552;;0
40;LC;86434;A;20;Amarela;552;;0
41;LC;37925;C;27;Amarela;552;;0
42;LC;96909;E;4;Amarela;552;;0
43;LC;83841;D;30;Amarela;552;;0
44;LC;89089;B;17;Amarela;552;;0
45;LC;82045;A;1;Amarela;552;;0
1;LC;18848;B;6;Branca;553;0;0
2;LC;98030;B;8;Branca;553;0;0
3;LC;77968;A;6;Branca;553;0;0
4;LC;40270;D;7;Branca;553;0;0
5;LC;86116;E;5;Branca;553;0;0
1;LC;87810;B;6;Branca;553;1;0
2;LC;55170;A;5;Branca;553;1;0
3;LC;25684;A;7;Branca;553;1;0
4;LC;32839;B;8;Branca;553;1;0
5;LC;17910;D;6;Branca;553;1;0
6;LC;77451;B;18;Branca;553;;0
7;LC;42875;B;15;Branca;553;;0
8;LC;77601;E;21;Branca;553;;0
9;LC;61358;D;28;Branca;553;;0
10;LC;61312;A;12;Branca;553;;0
11;LC;81621;B;23;Branca;553;;0
12;LC;96915;C;2;Branca;553;;0
13;LC;86328;D;26;Branca;553;;0
14;LC;98288;D;16;Branca;553;;0
15;LC;29602;E;10;Branca;553;;0
16;LC;68112;C;18;Branca;553;;0
17;LC;83841;D;30;Branca;553;;0
18;LC;89089;B;17;Branca;553;;0
19;LC;82045;A;1;Branca;553;;0
20;LC;87976;E;3;Branca;553;;0
21;LC;85630;C;11;Branca;553;;0
22;LC;97756;A;17;Branca;553;;0
23;LC;63561;A;12;Branca;553;;0
24;LC;32254;A;9;Branca;553;;0
25;LC;82391;E;17;Branca;553;;0
26;LC;86434;A;20;Branca;553;;0
27;LC;37925;C;27;Branca;553;;0
28;LC;96909;E;4;Branca;553;;0
29;LC;98305;B;25;Branca;553;;0
30;LC;84059;B;11;Branca;553;;0
31;LC;42506;D;4;Branca;553;;0
32;LC;68223;B;14;Branca;553;;0
33;LC;87984;E;15;Branca;553;;0
34;LC;85873;B;16;Branca;553;;0
35;LC;83874;E;24;Branca;553;;0
36;LC;118070;A;18;Branca;553;;0
37;LC;68155;E;23;Branca;553;;0
38;LC;85383;B;16;Branca;553;;0
39;LC;83334;C;24;Branca;553;;0
40;LC;47604;D;3;Branca;553;;0
41;LC;85698;E;16;Branca;553;;0
42;LC;50074;A;19;Branca;553;;0
43;LC;60118;C;25;Branca;553;;0
44;LC;38780;B;4;Branca;553;;0
45;LC;49170;C;22;Branca;553;;0
1;LC;40270;D;7;Rosa;554;0;0
2;LC;18848;B;6;Rosa;554;0;0
3;LC;98030;B;8;Rosa;554;0;0
4;LC;77968;A;6;Rosa;554;0;0
5;LC;86116;E;5;Rosa;554;0;0
1;LC;25684;A;7;Rosa;554;1;0
2;LC;87810;B;6;Rosa;554;1;0
3;LC;32839;B;8;Rosa;554;1;0
4;LC;17910;D;6;Rosa;554;1;0
5;LC;55170;A;5;Rosa;554;1;0
6;LC;60118;C;25;Rosa;554;;0
7;LC;38780;B;4;Rosa;554;;0
8;LC;49170;C;22;Rosa;554;;0
9;LC;47604;D;3;Rosa;554;;0
10;LC;85698;E;16;Rosa;554;;0
11;LC;50074;A;19;Rosa;554;;0
12;LC;85873;B;16;Rosa;554;;0
13;LC;83874;E;24;Rosa;554;;0
14;LC;118070;A;18;Rosa;554;;0
15;LC;68155;E;23;Rosa;554;;0
16;LC;85383;B;16;Rosa;554;;0
17;LC;83334;C;24;Rosa;554;;0
18;LC;68223;B;14;Rosa;554;;0
19;LC;87984;E;15;Rosa;554;;0
20;LC;86434;A;20;Rosa;554;;0
21;LC;37925;C;27;Rosa;554;;0
22;LC;96909;E;4;Rosa;554;;0
23;LC;98305;B;25;Rosa;554;;0
24;LC;84059;B;11;Rosa;554;;0
25;LC;42506;D;4;Rosa;554;;0
26;LC;98288;D;16;Rosa;554;;0
27;LC;29602;E;10;Rosa;554;;0
28;LC;68112;C;18;Rosa;554;;0
29;LC;87976;E;3;Rosa;554;;0
30;LC;85630;C;11;Rosa;554;;0
31;LC;97756;A;17;Rosa;554;;0
32;LC;61358;D;28;Rosa;554;;0
33;LC;61312;A;12;Rosa;554;;0
34;LC;81621;B;23;Rosa;554;;0
35;LC;83841;D;30;Rosa;554;;0
36;LC;89089;B;17;Rosa;554;;0
37;LC;82045;A;1;Rosa;554;;0
38;LC;96915;C;2;Rosa;554;;0
39;LC;86328;D;26;Rosa;554;;0
40;LC;77451;B;18;Rosa;554;;0
41;LC;42875;B;15;Rosa;554;;0
42;LC;77601;E;21;Rosa;554;;0
43;LC;63561;A;12;Rosa;554;;0
44;LC;32254;A;9;Rosa;554;;0
45;LC;82391;E;17;Rosa;554;;0
1;LC;86116;E;5;Laranja;565;0;0
2;LC;40270;D;7;Laranja;565;0;0
3;LC;77968;A;6;Laranja;565;0;0
4;LC;98030;B;8;Laranja;565;0;0
5;LC;18848;B;6;Laranja;565;0;0
1;LC;17910;D;6;Laranja;565;1;0
2;LC;25684;A;7;Laranja;565;1;0
3;LC;55170;A;5;Laranja;565;1;0
4;LC;32839;B;8;Laranja;565;1;0
5;LC;87810;B;6;Laranja;565;1;0
6;LC;83841;D;30;Laranja;565;;0
7;LC;89089;B;17;Laranja;565;;0
8;LC;82045;A;1;Laranja;565;;0
9;LC;86434;A;20;Laranja;565;;0
10;LC;37925;C;27;Laranja;565;;0
11;LC;96909;E;4;Laranja;565;;0
12;LC;63561;A;12;Laranja;565;;0
13;LC;32254;A;9;Laranja;565;;0
14;LC;82391;E;17;Laranja;565;;0
15;LC;60118;C;25;Laranja;565;;0
16;LC;38780;B;4;Laranja;565;;0
17;LC;49170;C;22;Laranja;565;;0
18;LC;77451;B;18;Laranja;565;;0
19;LC;42875;B;15;Laranja;565;;0
20;LC;77601;E;21;Laranja;565;;0
21;LC;96915;C;2;Laranja;565;;0
22;LC;86328;D;26;Laranja;565;;0
23;LC;47604;D;3;Laranja;565;;0
24;LC;85698;E;16;Laranja;565;;0
25;LC;50074;A;19;Laranja;565;;0
26;LC;61358;D;28;Laranja;565;;0
27;LC;61312;A;12;Laranja;565;;0
28;LC;81621;B;23;Laranja;565;;0
29;LC;85873;B;16;Laranja;565;;0
30;LC;83874;E;24;Laranja;565;;0
31;LC;98288;D;16;Laranja;565;;0
32;LC;29602;E;10;Laranja;565;;0
33;LC;68112;C;18;Laranja;565;;0
34;LC;87976;E;3;Laranja;565;;0
35;LC;85630;C;11;Laranja;565;;0
36;LC;97756;A;17;Laranja;565;;0
37;LC;98305;B;25;Laranja;565;;0
38;LC;84059;B;11;Laranja;565;;0
39;LC;42506;D;4;Laranja;565;;0
40;LC;68223;B;14;Laranja;565;;0
41;LC;87984;E;15;Laranja;565;;0
42;LC;118070;A;18;Laranja;565;;0
43;LC;68155;E;23;Laranja;565;;0
44;LC;85383;B;16;Laranja;565;;0
45;LC;83334;C;24;Laranja;565;;0
46;CH;111894;B;27;Azul;507;;0
47;CH;118054;A;28;Azul;507;;0
48;CH;118067;C;29;Azul;507;;0
49;CH;66498;C;30;Azul;507;;0
50;CH;86751;C;23;Azul;507;;0
51;CH;83820;B;12;Azul;507;;0
52;CH;77940;A;16;Azul;507;;0
53;CH;118034;B;9;Azul;507;;0
54;CH;84888;B;15;Azul;507;;0
55;CH;88233;A;15;Azul;507;;0
56;CH;86934;D;17;Azul;507;;0
57;CH;118158;C;6;Azul;507;;0
58;CH;88306;B;23;Azul;507;;0
59;CH;118033;C;6;Azul;507;;0
60;CH;84769;E;11;Azul;507;;0
61;CH;118022;E;26;Azul;507;;0
62;CH;111844;E;11;Azul;507;;0
63;CH;33960;B;14;Azul;507;;0
64;CH;78903;C;11;Azul;507;;0
65;CH;97975;A;1;Azul;507;;0
66;CH;118108;C;22;Azul;507;;0
67;CH;66219;A;1;Azul;507;;0
68;CH;111877;C;10;Azul;507;;0
69;CH;88194;E;19;Azul;507;;0
70;CH;118125;E;21;Azul;507;;0
71;CH;87057;D;20;Azul;507;;0
72;CH;85139;B;24;Azul;507;;0
73;CH;88308;C;3;Azul;507;;0
74;CH;87709;C;3;Azul;507;;0
75;CH;112135;A;27;Azul;507;;0
76;CH;81689;D;23;Azul;507;;0
77;CH;118029;B;5;Azul;507;;0
78;CH;118024;E;4;Azul;507;;0
79;CH;97013;A;24;Azul;507;;0
80;CH;11601;D;15;Azul;507;;0
81;CH;89147;B;18;Azul;507;;0
82;CH;84811;A;2;Azul;507;;0
83;CH;96447;D;20;Azul;507;;0
84;CH;96302;B;7;Azul;507;;0
85;CH;111820;B;5;Azul;507;;0
86;CH;96596;B;7;Azul;507;;0
87;CH;84147;A;25;Azul;507;;0
88;CH;95648;C;8;Azul;507;;0
89;CH;118038;D;26;Azul;507;;0
90;CH;76955;B;27;Azul;507;;0
46;CH;86751;C;23;Amarela;508;;0
47;CH;83820;B;12;Amarela;508;;0
48;CH;77940;A;16;Amarela;508;;0
49;CH;118034;B;9;Amarela;508;;0
50;CH;84811;A;2;Amarela;508;;0
51;CH;96447;D;20;Amarela;508;;0
52;CH;96302;B;7;Amarela;508;;0
53;CH;111820;B;5;Amarela;508;;0
54;CH;118033;C;6;Amarela;508;;0
55;CH;84769;E;11;Amarela;508;;0
56;CH;118022;E;26;Amarela;508;;0
57;CH;111844;E;11;Amarela;508;;0
58;CH;33960;B;14;Amarela;508;;0
59;CH;78903;C;11;Amarela;508;;0
60;CH;84888;B;15;Amarela;508;;0
61;CH;88233;A;15;Amarela;508;;0
62;CH;86934;D;17;Amarela;508;;0
63;CH;118158;C;6;Amarela;508;;0
64;CH;88306;B;23;Amarela;508;;0
65;CH;88194;E;19;Amarela;508;;0
66;CH;118125;E;21;Amarela;508;;0
67;CH;87057;D;20;Amarela;508;;0
68;CH;85139;B;24;Amarela;508;;0
69;CH;118029;B;5;Amarela;508;;0
70;CH;118024;E;4;Amarela;508;;0
71;CH;97013;A;24;Amarela;508;;0
72;CH;11601;D;15;Amarela;508;;0
73;CH;89147;B;18;Amarela;508;;0
74;CH;96596;B;7;Amarela;508;;0
75;CH;84147;A;25;Amarela;508;;0
76;CH;95648;C;8;Amarela;508;;0
77;CH;118038;D;26;Amarela;508;;0
78;CH;76955;B;27;Amarela;508;;0
79;CH;111894;B;27;Amarela;508;;0
80;CH;118054;A;28;Amarela;508;;0
81;CH;118067;C;29;Amarela;508;;0
82;CH;66498;C;30;Amarela;508;;0
83;CH;88308;C;3;Amarela;508;;0
84;CH;87709;C;3;Amarela;508;;0
85;CH;112135;A;27;Amarela;508;;0
86;CH;81689;D;23;Amarela;508;;0
87;CH;97975;A;1;Amarela;508;;0
